shooting_type,age_group,race,sex,lat,lng
nonlethal,45,POC,Male,33.9798,-118.2917
nonlethal,55,POC,Male,33.9693,-118.285
nonlethal,35,POC,Male,34.2487,-118.4098
nonlethal,25,POC,Male,34.0006,-118.2948
nonlethal,25,POC,Male,33.9961,-118.4655
lethal,25,POC,Male,33.967,-118.2695
lethal,20,POC,Male,34.2715,-118.4123
lethal,55,POC,Male,33.9824,-118.2789
nonlethal,35,POC,Male,33.9727,-118.2739
lethal,25,POC,Male,34.1958,-118.389
nonlethal,45,POC,Male,34.0286,-118.2497
lethal,65,White,Male,33.9298,-118.2848
nonlethal,30,POC,Female,33.96,-118.3003
nonlethal,15,POC,Male,33.9455,-118.3057
lethal,15,POC,Male,33.9782,-118.2871
nonlethal,18,POC,Male,33.9967,-118.2499
nonlethal,35,POC,Male,33.9611,-118.2853
nonlethal,30,POC,Male,33.9303,-118.2532
nonlethal,15,POC,Male,33.9909,-118.2959
nonlethal,35,POC,Male,33.9792,-118.2893
lethal,35,POC,Male,33.9682,-118.309
nonlethal,20,POC,Male,33.9729,-118.4595
nonlethal,25,POC,Male,34.2797,-118.4079
nonlethal,25,POC,Male,33.9984,-118.274
nonlethal,45,POC,Male,33.9778,-118.2959
nonlethal,25,POC,Male,33.9876,-118.2827
nonlethal,25,POC,Male,33.9741,-118.2827
nonlethal,20,POC,Male,34.2611,-118.4925
nonlethal,25,POC,Male,33.9957,-118.2434
nonlethal,45,POC,Male,34.1976,-118.3965
nonlethal,20,POC,Male,33.96,-118.3046
nonlethal,18,POC,Male,33.991,-118.3002
nonlethal,35,POC,Male,34.0006,-118.2871
nonlethal,25,POC,Male,33.9664,-118.3025
nonlethal,18,POC,Male,33.9823,-118.3187
nonlethal,35,POC,Male,33.9622,-118.2834
nonlethal,45,POC,Male,33.9966,-118.2652
nonlethal,20,POC,Male,33.9247,-118.2717
nonlethal,30,POC,Male,33.9837,-118.2871
nonlethal,35,POC,Male,33.9517,-118.3703
nonlethal,30,POC,Male,33.9974,-118.2783
nonlethal,55,POC,Male,33.9881,-118.3352
nonlethal,15,POC,Male,33.9919,-118.4781
lethal,45,POC,Male,34.018,-118.2369
nonlethal,25,POC,Male,33.9486,-118.3094
nonlethal,30,POC,Female,33.9781,-118.3323
